City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
Kutum,SD,1616231014,14.2,24.6667,91.58,10,34,19.69
Saint George,US,1616231014,37.1041,-113.5841,60.8,27,1,12.66
Dicabisagan,PH,1616231015,17.0818,122.4157,80.98,82,82,5.28
Bilibino,RU,1616231015,68.0546,166.4372,-20.34,77,0,1.12
Mikuni,JP,1616231015,36.2171,136.1519,58.53,73,100,10.96
Hamilton,US,1616231015,39.1834,-84.5333,32.0,74,1,4.61
Maun,BW,1616231015,-19.9833,23.4167,80.6,65,0,4.61
Contai,IN,1616231016,21.7786,87.7536,91.9,32,30,13.51
Krasnosel'kup,RU,1616231016,65.7,82.4667,-7.15,82,12,11.68
Ténenkou,ML,1616231016,14.4572,-4.9169,93.7,8,46,12.28
Saint-Pierre,RE,1616231017,-21.3393,55.4781,86.0,62,0,26.46
Altayskoye,RU,1616231017,51.9533,85.3325,40.5,94,40,4.76
Copiapó,CL,1616231017,-27.3667,-70.3333,55.4,82,3,0.54
Batemans Bay,AU,1616231017,-35.7167,150.1833,66.0,96,100,10.98
Ust-Tsilma,RU,1616231017,65.441,52.1498,11.7,82,98,1.03
Barra de Tecoanapa,MX,1616231018,16.5167,-98.75,73.02,73,0,3.58
Ludwigslust,DE,1616231018,53.3167,11.5,35.01,63,88,9.53
Iquique,CL,1616231018,-20.2208,-70.1431,68.0,64,0,14.97
Bangassou,CF,1616231018,4.7413,22.8184,87.46,55,94,1.99
Srednekolymsk,RU,1616231018,67.45,153.6833,-11.04,87,3,2.77
Saint Anthony,US,1616231019,45.0205,-93.218,37.99,64,1,5.75
Karatau,KZ,1616231019,43.1667,70.4667,49.68,96,100,10.22
Palmas,BR,1616231019,-10.2128,-48.3603,71.6,100,75,5.75
Algiers,DZ,1616230872,36.7525,3.042,48.2,93,75,4.61
Atikokan,CA,1616231019,48.7555,-91.6216,31.28,75,0,7.81
Tal'menka,RU,1616231020,53.8183,83.5677,37.4,48,0,4.47
Tautira,PF,1616231020,-17.7333,-149.15,78.8,73,0,5.75
Makakilo City,US,1616231020,21.3469,-158.0858,71.6,68,1,5.75
Touros,BR,1616231020,-5.1989,-35.4608,75.2,94,75,4.61
Anadyr,RU,1616231020,64.75,177.4833,-5.01,71,0,11.18
Carutapera,BR,1616231021,-1.195,-46.02,71.65,97,100,5.39
Assiut,EG,1616231021,27.181,31.1837,78.8,24,0,10.36
Omboué,GA,1616231021,-1.5746,9.2618,81.63,76,100,3.04
Mbandaka,CD,1616231021,0.0487,18.2603,72.37,95,100,4.88
La Ronge,CA,1616231021,55.1001,-105.2842,39.2,65,11,4.61
Villanueva,HN,1616230873,15.3167,-88.0,75.0,90,45,1.83
Hermagor,AT,1616231022,46.6272,13.3672,41.0,74,20,5.75
Buraidah,SA,1616230875,26.326,43.975,77.0,29,0,11.5
Manggar,ID,1616231022,-2.8833,108.2667,83.7,76,90,6.44
Okhotsk,RU,1616231022,59.3833,143.3,8.46,79,26,3.58
Yulara,AU,1616231023,-25.2406,130.9889,66.2,82,90,12.66
Srīvardhan,IN,1616231023,18.0333,73.0167,85.41,54,0,17.98
Moyobamba,PE,1616231023,-6.05,-76.9667,66.33,99,100,0.02
Nhulunbuy,AU,1616231023,-12.2333,136.7667,80.6,83,73,5.75
Nacala,MZ,1616231023,-14.5428,40.6728,84.2,70,75,4.61
Qingdao,CN,1616230865,36.0986,120.3719,46.99,71,75,8.95
Raja,SS,1616231024,8.4596,25.678,102.65,26,22,1.7
Gaza,PS,1616231024,31.5,34.4667,73.99,41,15,3.0
Tallahassee,US,1616230938,30.4383,-84.2807,55.4,76,90,11.5
Tagusao,PH,1616231025,9.1924,117.8141,82.89,81,70,9.66
Otane,NZ,1616231025,-39.8833,176.6333,60.01,68,97,3.0
Cayenne,GF,1616231025,4.9333,-52.3333,79.0,100,40,5.53
Dingle,PH,1616231025,10.9995,122.6711,84.56,68,75,9.1
Pangkalanbuun,ID,1616231026,-2.6833,111.6167,82.81,84,100,2.73
Korla,CN,1616230969,41.7597,86.1469,48.7,37,36,6.04
Valparaíso,CL,1616231026,-33.0393,-71.6273,50.0,87,0,3.44
Urbino,IT,1616231026,43.7298,12.6356,48.0,68,100,8.01
Rio Grande,BR,1616231026,-32.035,-52.0986,71.01,91,50,17.83
Haines Junction,CA,1616231027,60.7522,-137.5108,-4.0,71,3,1.14
Ituberá,BR,1616231027,-13.7322,-39.1492,70.72,96,46,3.27
Lere,NG,1616231027,10.387,8.5726,86.36,40,84,7.45
Susanville,US,1616231027,40.4163,-120.653,35.6,87,90,6.91
Slave Lake,CA,1616231027,55.2834,-114.769,28.4,86,1,2.3
Powell River,CA,1616231028,49.8496,-124.5361,42.8,93,90,4.61
Sivaki,RU,1616231028,52.6333,126.75,23.52,86,37,2.44
Spasskoye,RU,1616231028,44.6108,132.7969,33.12,97,100,5.46
Lobito,AO,1616231028,-12.3481,13.5456,83.35,69,99,6.35
Türkan,AZ,1616231028,40.3639,50.215,51.8,71,0,16.11
Santa Rosa,PH,1616230828,14.3122,121.1114,93.2,55,20,6.91
Sharan,RU,1616231029,54.8167,54.0,28.09,92,100,16.11
Atar,MR,1616231029,20.5169,-13.0499,69.33,26,0,17.67
Mahenge,TZ,1616231029,-8.6833,36.7167,74.03,83,34,3.42
Khomeyn,IR,1616231029,33.6423,50.0789,51.8,40,0,16.2
Aljezur,PT,1616231029,37.3191,-8.8033,52.29,48,0,15.41
Sumenep,ID,1616231030,-7.0167,113.8667,84.58,74,99,6.78
Alcañiz,ES,1616231030,41.05,-0.1333,42.01,87,34,11.01
Karwar,IN,1616231030,14.8,74.1333,87.55,56,1,10.11
Caborca,MX,1616231030,30.5838,-111.101,55.0,27,0,3.0
Buala,SB,1616231030,-8.145,159.5921,81.09,78,90,2.66
Panlaitan,PH,1616231031,12.1191,119.8486,84.29,69,25,1.05
Luwuk,ID,1616231031,-0.9516,122.7875,84.34,82,86,1.25
Mount Isa,AU,1616230804,-20.7333,139.5,75.2,100,90,10.36
Ponta Delgada,PT,1616230808,37.7333,-25.6667,55.4,76,20,5.75
Pozoblanco,ES,1616231031,38.3791,-4.8483,50.0,46,0,16.11
Virden,US,1616231032,39.5009,-89.7679,35.01,78,0,3.0
Mitsamiouli,KM,1616231032,-11.3847,43.2844,84.52,71,84,4.85
Río Cuarto,AR,1616231032,-33.1307,-64.3499,59.0,95,98,5.01
Reshetylivka,UA,1616231032,49.565,34.0782,33.94,98,100,4.88
Zyryanka,RU,1616231032,65.75,150.85,-4.86,86,0,8.75
Bilyayivka,UA,1616231033,46.4832,30.2168,41.0,60,75,13.42
Moura,PT,1616231033,38.1401,-7.4486,46.4,53,0,13.8
Fare,PF,1616231033,-16.7,-151.0167,82.89,64,33,4.52
Ørnes,NO,1616231033,66.8689,13.7078,37.4,87,75,12.66
Douglas,US,1616231033,41.3,-96.167,37.99,69,1,9.22
Dakar,SN,1616231034,14.6937,-17.4441,66.2,94,0,6.91
Kodarmā,IN,1616231034,24.4667,85.6,95.81,16,17,13.35
Hofn,IS,1616231034,64.2539,-15.2082,38.07,48,0,13.04
Dzhebariki-Khaya,RU,1616231034,62.2167,135.8,16.32,95,100,4.81
Madang,PG,1616230927,-5.2246,145.7966,80.46,79,99,3.22
Silvassa,IN,1616231034,20.2667,73.0167,97.05,19,0,11.68
Xam Nua,LA,1616231035,20.4197,104.0439,83.21,49,91,2.71
Hirado,JP,1616231035,33.3597,129.5531,63.0,94,75,10.36
Hammerfest,NO,1616231035,70.6634,23.6821,32.0,86,75,16.11
Bud,US,1616231035,39.447,-86.1758,30.0,76,0,6.22
Brigantine,US,1616231035,39.4101,-74.3646,33.01,59,1,3.44
Caravelas,BR,1616231036,-17.7125,-39.2481,73.04,91,3,1.07
Dingli,MT,1616231036,35.8614,14.3822,62.6,82,75,11.5
San Cristobal,VE,1616231037,7.7669,-72.225,65.32,92,100,2.35
Laguna,US,1616231037,38.421,-121.4238,45.0,87,1,4.61
Namatanai,PG,1616231037,-3.6667,152.4333,81.82,75,100,7.9
Tazmalt,DZ,1616231037,36.3868,4.3989,47.79,81,85,4.76
Sinnamary,GF,1616231037,5.3833,-52.95,75.76,86,98,7.78
Custoias,PT,1616231038,41.1053,-7.321,45.0,65,0,8.99
Chui,UY,1616231038,-33.6971,-53.4616,64.11,92,18,8.41
Amga,RU,1616231038,60.8953,131.9608,21.9,91,100,4.16
Lafiagi,NG,1616231038,8.8667,5.4167,86.34,54,90,4.94
Bontang,ID,1616231038,0.1333,117.5,84.52,70,83,6.24
Flin Flon,CA,1616231039,54.7682,-101.865,35.24,97,81,7.94
Naviraí,BR,1616231039,-23.065,-54.1906,69.46,97,93,7.67
Naze,JP,1616230886,28.3667,129.4833,71.6,94,75,13.8
Mvuma,ZW,1616231039,-19.2792,30.5283,77.36,42,0,7.36
Igarka,RU,1616231039,67.4667,86.5833,-13.79,81,0,10.54
Emba,KZ,1616231040,48.8264,58.1442,30.74,92,100,24.63
Ekhabi,RU,1616231040,53.5102,142.9671,14.67,81,0,2.17
Jalu,LY,1616231040,29.0331,21.5482,87.89,12,0,9.44
Cachoeiras de Macacu,BR,1616231040,-22.4625,-42.6531,68.74,90,0,3.2
Tcholliré,CM,1616231040,8.4022,14.1698,95.92,31,74,4.79
Lethem,GY,1616231041,3.3803,-59.7968,73.87,72,18,10.76
Mama,RU,1616231041,58.3106,112.8986,25.72,91,100,18.32
La Asuncion,VE,1616231041,11.0333,-63.8628,74.14,87,34,11.86
Ulladulla,AU,1616231041,-35.35,150.4667,68.0,100,75,12.66
Rørvik,NO,1616231041,64.8621,11.2373,42.8,100,90,32.21
Erzin,TR,1616231042,36.9559,36.2,62.01,68,100,4.16
Mwinilunga,ZM,1616231042,-11.7358,24.4293,75.85,69,13,5.17
Acajutla,SV,1616231042,13.5928,-89.8275,80.26,56,29,6.93
Nongstoin,IN,1616231042,25.5167,91.2667,78.44,23,69,8.59
Vigrestad,NO,1616231042,58.5667,5.7,42.01,98,84,18.45
Dutlwe,BW,1616231043,-23.9833,23.9,84.7,29,6,11.54
San Isidro,PE,1616231043,-12.1167,-77.05,69.8,83,0,4.61
Chapais,CA,1616231043,49.7834,-74.8492,24.8,68,1,8.05
Staryy Nadym,RU,1616231043,65.6118,72.6842,-4.81,82,81,16.98
Melioratorov,RU,1616231044,57.2107,65.6077,32.0,80,90,2.24
Pacific Grove,US,1616231044,36.6177,-121.9166,51.8,82,90,3.44
Dawlatabad,AF,1616231044,36.4141,64.9053,59.7,80,100,15.12
Chirongui,YT,1616231044,-12.9319,45.1483,87.8,70,40,8.05
Sorong,ID,1616231044,-0.8833,131.25,84.25,72,99,6.46
Vila Velha,BR,1616231044,-20.3297,-40.2925,71.6,94,20,1.14
Maţāy,EG,1616231045,28.419,30.7792,86.58,13,17,9.42
Porto-Novo,BJ,1616230806,6.4965,2.6036,84.2,79,40,8.05
Akhnūr,IN,1616230817,32.8667,74.7333,84.2,30,40,4.61
Atlantic City,US,1616231046,39.3643,-74.4229,33.01,59,1,3.44
Vallenar,CL,1616231046,-28.5708,-70.7581,52.09,89,0,0.78
Belyy,RU,1616231046,55.8402,32.9419,30.18,69,50,4.74
Olinda,BR,1616231047,-8.0089,-34.8553,75.2,83,40,4.61
Marawi,PH,1616231047,7.9986,124.2928,82.99,85,100,5.99
Borovoy,RU,1616231047,55.4333,86.0833,33.8,55,0,8.95
Sherbakul',RU,1616231047,54.6316,72.3963,30.2,86,75,8.95
Miramar,US,1616231048,25.9873,-80.2323,59.0,82,75,9.22
Nehe,CN,1616231028,48.4833,124.8333,38.21,46,100,12.28
Germersheim,DE,1616231048,49.2231,8.3639,41.0,50,61,1.01
Qasigiannguit,GL,1616231049,68.8193,-51.1922,14.0,67,40,4.61
Mpulungu,ZM,1616231049,-8.7623,31.1141,82.53,59,45,3.56
Temirtau,KZ,1616231049,50.0544,72.9483,32.0,86,75,15.66
Hobyo,SO,1616231049,5.3505,48.5268,85.06,62,50,17.22
Kandrian,PG,1616231049,-6.2167,149.55,81.52,80,100,5.35
Tiznit Province,MA,1616231050,29.5833,-9.5,53.11,59,17,12.44
Khovd,MN,1616231050,48.0056,91.6419,33.15,18,0,5.82
Dickinson,US,1616231051,29.4608,-95.0513,53.01,76,1,8.52
Antofagasta,CL,1616231051,-23.65,-70.4,60.8,88,0,3.44
Heusden,BE,1616231051,51.0366,5.2801,39.99,65,75,4.61
Gladstone,AU,1616230806,-23.85,151.25,80.6,74,79,13.8
Samarai,PG,1616231051,-10.6167,150.6667,83.77,74,32,6.51
Sept-Îles,CA,1616231052,50.2001,-66.3821,15.01,61,90,4.61
Waterfoot,GB,1616231052,53.6929,-2.2525,48.0,92,99,5.14
Faya,SA,1616231052,18.3851,42.4509,78.8,13,0,9.22
Cap Malheureux,MU,1616231053,-19.9842,57.6142,82.99,76,39,11.99
Kouroussa,GN,1616231053,10.65,-9.8833,85.12,37,96,4.9
Shingū,JP,1616231053,33.7333,135.9833,64.4,63,75,14.97
Nara,JP,1616231053,34.6851,135.8049,68.0,37,75,8.05
Salinas,US,1616231054,36.6777,-121.6555,51.8,81,1,4.61
Fethiye,TR,1616231054,36.6217,29.1164,59.0,82,75,4.61
Ilebo,CD,1616231054,-4.3167,20.5833,87.53,63,100,2.04
Awjilah,LY,1616231054,29.1081,21.2869,87.06,12,0,9.78
San Lucas,MX,1616231054,16.6,-92.7167,62.74,89,25,1.99
Shaunavon,CA,1616231055,49.6501,-108.4181,33.8,69,100,13.8
Khani,GE,1616231055,41.9563,42.9566,50.0,66,90,12.66
Grajaú,BR,1616231055,-5.8194,-46.1386,70.0,99,94,3.36
Guasdualito,VE,1616231055,7.2424,-70.7324,75.36,70,100,2.35
Qarqīn,AF,1616231055,37.4185,66.0436,59.4,83,100,21.54
Naliya,IN,1616231056,23.2667,68.8333,97.74,17,0,12.44
